"","Chemical.class","Standard.match"
"C18-neg_Cluster_1950",NA,NA
"C18-neg_Cluster_1951",NA,NA
"C18-neg_Cluster_1952",NA,NA
"C18-neg_Cluster_1953",NA,NA
"C18-neg_Cluster_1954",NA,NA
"C18-neg_Cluster_1956",NA,NA
"C18-neg_Cluster_1958",NA,NA
"C18-neg_Cluster_1959",NA,NA
"C18-neg_Cluster_1960",NA,NA
"C18-neg_Cluster_1961",NA,NA
"C18-neg_Cluster_1965","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_1966","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_1967",NA,NA
"C18-neg_Cluster_1968",NA,NA
"C18-neg_Cluster_1972","Ergoline and derivatives",NA
"C18-neg_Cluster_1973",NA,NA
"C18-neg_Cluster_1974",NA,NA
"C18-neg_Cluster_1975",NA,NA
"C18-neg_Cluster_1976","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_1977",NA,NA
"C18-neg_Cluster_1979",NA,NA
"C18-neg_Cluster_1980",NA,NA
"C18-neg_Cluster_1981","Tetracyclines",NA
"C18-neg_Cluster_1982",NA,NA
"C18-neg_Cluster_1983",NA,NA
"C18-neg_Cluster_1984",NA,NA
"C18-neg_Cluster_1985",NA,NA
"C18-neg_Cluster_1986","Cinnamic acids and derivatives",NA
"C18-neg_Cluster_1987","Cinnamic acids and derivatives",NA
"C18-neg_Cluster_1991",NA,NA
"C18-neg_Cluster_1994","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_1995","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_1996",NA,NA
"C18-neg_Cluster_1997",NA,NA
"C18-neg_Cluster_1999",NA,NA
"C18-neg_Cluster_2003","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_2004","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_2006","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_2007","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_2008","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_2009","Fatty acid esters",NA
"C18-neg_Cluster_2010",NA,NA
"C18-neg_Cluster_2011","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_2012","Tetrapyrroles and derivatives",NA
"C18-neg_Cluster_2015","Steroidal glycosides",NA
"C18-neg_Cluster_2016",NA,NA
"C18-neg_Cluster_2018",NA,NA
"C18-neg_Cluster_2022",NA,NA
"C18-neg_Cluster_2023","Fatty acid esters",NA
"C18-neg_Cluster_2024",NA,NA
"C18-neg_Cluster_2025",NA,NA
"C18-neg_Cluster_2026",NA,NA
"C18-neg_Cluster_2027",NA,NA
"C18-neg_Cluster_2028",NA,NA
"C18-neg_Cluster_2030",NA,NA
"C18-neg_Cluster_2031",NA,NA
"C18-neg_Cluster_2033",NA,NA
"C18-neg_Cluster_2036",NA,NA
"C18-neg_Cluster_2040","Triacylglycerols",NA
"C18-neg_Cluster_2043",NA,NA
"C18-neg_Cluster_2044","1-acyl-sn-glycerol-3-phosphoinositols",NA
"C18-neg_Cluster_2046",NA,NA
"C18-neg_Cluster_2049",NA,NA
"C18-neg_Cluster_2050",NA,NA
"C18-neg_Cluster_2051",NA,NA
"C18-neg_Cluster_2054",NA,NA
"C18-neg_Cluster_2055",NA,NA
"C18-neg_Cluster_2057",NA,NA
"C18-neg_Cluster_2059",NA,NA
"C18-neg_Cluster_2061",NA,NA
"C18-neg_Cluster_2062",NA,NA
"C18-neg_Cluster_2066",NA,NA
"C18-neg_Cluster_2069","Steroidal saponins",NA
"C18-neg_Cluster_2070",NA,NA
"C18-neg_Cluster_2073","Annonaceous acetogenins",NA
"C18-neg_Cluster_2074",NA,NA
"C18-neg_Cluster_2076",NA,NA
"C18-neg_Cluster_2077",NA,NA
"C18-neg_Cluster_2078",NA,NA
"C18-neg_Cluster_2085","Triacylglycerols",NA
"C18-neg_Cluster_2086",NA,NA
"C18-neg_Cluster_2087",NA,NA
"C18-neg_Cluster_2088",NA,NA
"C18-neg_Cluster_2089",NA,NA
"C18-neg_Cluster_2091",NA,NA
"C18-neg_Cluster_2092",NA,NA
"C18-neg_Cluster_2094",NA,NA
"C18-neg_Cluster_2097",NA,NA
"C18-neg_Cluster_2098",NA,NA
"C18-neg_Cluster_2100",NA,NA
"C18-neg_Cluster_2102",NA,NA
"C18-neg_Cluster_2106","Lineolic acids and derivatives",NA
"C18-neg_Cluster_2110",NA,NA
"C18-neg_Cluster_2112",NA,NA
"C18-neg_Cluster_2115","Triterpenoids",NA
"C18-neg_Cluster_2116","Triterpenoids",NA
"C18-neg_Cluster_2120","Fatty alcohols",NA
"C18-neg_Cluster_2122","1,3-diacylglycerols",NA
"C18-neg_Cluster_2123",NA,NA
"C18-neg_Cluster_2124",NA,NA
"C18-neg_Cluster_2125",NA,NA
"C18-neg_Cluster_2131",NA,NA
"C18-neg_Cluster_2132",NA,NA
"C18-neg_Cluster_2136",NA,NA
"C18-neg_Cluster_2137","N-acyl-alpha-hexosamines",NA
"C18-neg_Cluster_2138","N-acyl-alpha-hexosamines",NA
"C18-neg_Cluster_2139",NA,NA
"C18-neg_Cluster_2141",NA,NA
"C18-neg_Cluster_2142",NA,NA
"C18-neg_Cluster_2144",NA,NA
"C18-neg_Cluster_2145",NA,NA
"C18-neg_Cluster_2146",NA,NA
"C18-neg_Cluster_2148",NA,NA
"C18-neg_Cluster_2151","Triterpenoids",NA
"C18-neg_Cluster_2153","1,2-diacylglycerols",NA
"C18-neg_Cluster_2155",NA,NA
"C18-neg_Cluster_2157",NA,NA
"C18-neg_Cluster_2158",NA,NA
"C18-neg_Cluster_2159",NA,NA
"C18-neg_Cluster_2160",NA,NA
"C18-neg_Cluster_2162",NA,NA
"C18-neg_Cluster_2163",NA,NA
"C18-neg_Cluster_2164",NA,NA
"C18-neg_Cluster_2165",NA,NA
"C18-neg_Cluster_2167",NA,NA
"C18-neg_Cluster_2169",NA,NA
"C18-neg_Cluster_2170",NA,NA
"C18-neg_Cluster_2171","Triterpene saponins",NA
"C18-neg_Cluster_2173",NA,NA
"C18-neg_Cluster_2174",NA,NA
"C18-neg_Cluster_2175",NA,NA
"C18-neg_Cluster_2177",NA,NA
"C8-pos_Cluster_0001",NA,NA
"C8-pos_Cluster_0002","Coumarins and derivatives",NA
"C8-pos_Cluster_0004","Alpha-branched alpha,beta-unsaturated ketones",NA
"C8-pos_Cluster_0005","Carboxylic acid esters",NA
"C8-pos_Cluster_0007","Thiazoles",NA
"C8-pos_Cluster_0008","Thiazoles",NA
"C8-pos_Cluster_0009","Thiazoles",NA
"C8-pos_Cluster_0010","Thiazoles",NA
"C8-pos_Cluster_0011","Thiazoles",NA
"C8-pos_Cluster_0012","Thiazoles",NA
"C8-pos_Cluster_0013","Thiazoles",NA
"C8-pos_Cluster_0014","Thiazoles",NA
"C8-pos_Cluster_0015","Thiazoles",NA
"C8-pos_Cluster_0017","Thiazoles",NA
"C8-pos_Cluster_0019","Thiazoles",NA
"C8-pos_Cluster_0020","Thiazoles",NA
"C8-pos_Cluster_0021","Thiazoles",NA
"C8-pos_Cluster_0022","Thiazoles",NA
"C8-pos_Cluster_0023","Thiazoles",NA
"C8-pos_Cluster_0024","Thiazoles",NA
"C8-pos_Cluster_0025","Thiazoles",NA
"C8-pos_Cluster_0026","Thiazoles",NA
"C8-pos_Cluster_0027","Thiazoles",NA
"C8-pos_Cluster_0028","Thiazoles",NA
"C8-pos_Cluster_0029","Thiazoles",NA
"C8-pos_Cluster_0030","Thiazoles",NA
"C8-pos_Cluster_0031","Thiazoles",NA
"C8-pos_Cluster_0032",NA,NA
"C8-pos_Cluster_0034","Phenylpropenes",NA
"C8-pos_Cluster_0035","Phenylpropanes",NA
"C8-pos_Cluster_0037","Fatty acid esters",NA
"C8-pos_Cluster_0038",NA,NA
"C8-pos_Cluster_0040",NA,NA
"C8-pos_Cluster_0041","Sesquiterpenoids",NA
"C8-pos_Cluster_0042","Sesquiterpenoids",NA
"C8-pos_Cluster_0043","Indanes",NA
"C8-pos_Cluster_0044","Sesquiterpenoids",NA
"C8-pos_Cluster_0045",NA,NA
"C8-pos_Cluster_0046","Dipeptides",NA
"C8-pos_Cluster_0047","Dipeptides",NA
"C8-pos_Cluster_0048",NA,NA
"C8-pos_Cluster_0051","Dipeptides",NA
"C8-pos_Cluster_0052",NA,NA
"C8-pos_Cluster_0053",NA,NA
"C8-pos_Cluster_0054",NA,NA
"C8-pos_Cluster_0055",NA,NA
"C8-pos_Cluster_0057",NA,NA
"C8-pos_Cluster_0059",NA,NA
"C8-pos_Cluster_0061",NA,NA
"C8-pos_Cluster_0062",NA,NA
"C8-pos_Cluster_0063",NA,NA
"C8-pos_Cluster_0064",NA,NA
"C8-pos_Cluster_0066",NA,NA
"C8-pos_Cluster_0067",NA,NA
"C8-pos_Cluster_0068","Naphthofurans",NA
"C8-pos_Cluster_0069",NA,NA
"C8-pos_Cluster_0070",NA,NA
"C8-pos_Cluster_0072","N-acyl-alpha amino acids",NA
"C8-pos_Cluster_0073",NA,NA
"C8-pos_Cluster_0075",NA,NA
"C8-pos_Cluster_0077",NA,NA
"C8-pos_Cluster_0078",NA,NA
"C8-pos_Cluster_0079",NA,NA
"C8-pos_Cluster_0080",NA,NA
"C8-pos_Cluster_0081","Terpene lactones",NA
"C8-pos_Cluster_0082","Benzene and substituted derivatives",NA
"C8-pos_Cluster_0083","Fatty aldehydes",NA
"C8-pos_Cluster_0084","Fatty aldehydes",NA
"C8-pos_Cluster_0085","Long-chain fatty acids",NA
"C8-pos_Cluster_0086",NA,NA
"C8-pos_Cluster_0088","Menthane monoterpenoids",NA
"C8-pos_Cluster_0089","Ketones",NA
"C8-pos_Cluster_0091","Ketones",NA
"C8-pos_Cluster_0093","Eicosanoids",NA
"C8-pos_Cluster_0095","Cyclic ketones",NA
"C8-pos_Cluster_0096","Cyclic ketones",NA
"C8-pos_Cluster_0097",NA,NA
"C8-pos_Cluster_0098","Long-chain fatty acids",NA
"C8-pos_Cluster_0099",NA,NA
"C8-pos_Cluster_0101","Long-chain fatty acids",NA
"C8-pos_Cluster_0102","Sesquiterpenoids",NA
"C8-pos_Cluster_0103",NA,NA
"C8-pos_Cluster_0104","Benzodioxoles",NA
"C8-pos_Cluster_0105","Monoterpenoids",NA
"C8-pos_Cluster_0106",NA,NA
"C8-pos_Cluster_0107","Long-chain fatty acids",NA
"C8-pos_Cluster_0108",NA,NA
"C8-pos_Cluster_0109",NA,NA
"C8-pos_Cluster_0110","Benzoic acid esters",NA
"C8-pos_Cluster_0111","Benzoic acid esters",NA
"C8-pos_Cluster_0112","Lineolic acids and derivatives",NA
"C8-pos_Cluster_0114","Lineolic acids and derivatives",NA
"C8-pos_Cluster_0115",NA,NA
"C8-pos_Cluster_0116","Fatty amides",NA
"C8-pos_Cluster_0117","Guaianolides and derivatives",NA
"C8-pos_Cluster_0118",NA,NA
"C8-pos_Cluster_0119","Long-chain fatty acids",NA
"C8-pos_Cluster_0120","Long-chain fatty acids",NA
"C8-pos_Cluster_0122","Epoxides",NA
"C8-pos_Cluster_0125","Diterpenoids",NA
"C8-pos_Cluster_0127",NA,NA
"C8-pos_Cluster_0128",NA,NA
"C8-pos_Cluster_0131","Fatty acid esters",NA
"C8-pos_Cluster_0132","Fatty acid esters",NA
"C8-pos_Cluster_0133",NA,NA
"C8-pos_Cluster_0134","Fatty amides",NA
"C8-pos_Cluster_0135",NA,NA
"C8-pos_Cluster_0137",NA,NA
"C8-pos_Cluster_0138",NA,NA
"C8-pos_Cluster_0139","Morphinans",NA
"C8-pos_Cluster_0140",NA,NA
"C8-pos_Cluster_0141",NA,NA
"C8-pos_Cluster_0142",NA,NA
"C8-pos_Cluster_0143",NA,NA
"C8-pos_Cluster_0144",NA,NA
"C8-pos_Cluster_0145",NA,NA
"C8-pos_Cluster_0146","Kaurane diterpenoids",NA
"C8-pos_Cluster_0147",NA,NA
"C8-pos_Cluster_0149","Quinone and hydroquinone lipids",NA
"C8-pos_Cluster_0150","Organic sulfuric acids and derivatives",NA
"C8-pos_Cluster_0151","Fatty acids and conjugates",NA
"C8-pos_Cluster_0152","Lineolic acids and derivatives",NA
"C8-pos_Cluster_0153",NA,NA
"C8-pos_Cluster_0154",NA,NA
"C8-pos_Cluster_0155",NA,NA
"C8-pos_Cluster_0156",NA,NA
"C8-pos_Cluster_0157",NA,NA
"C8-pos_Cluster_0158","Lineolic acids and derivatives",NA
"C8-pos_Cluster_0161","Beta-diketones",NA
"C8-pos_Cluster_0162","Beta-diketones",NA
"C8-pos_Cluster_0163","Organonitrogen compounds",NA
"C8-pos_Cluster_0164","Imidazopyrimidines",NA
"C8-pos_Cluster_0165","Long-chain fatty acids",NA
"C8-pos_Cluster_0169",NA,NA
"C8-pos_Cluster_0170","Linear 1,3-diarylpropanoids",NA
"C8-pos_Cluster_0171","Linear 1,3-diarylpropanoids",NA
"C8-pos_Cluster_0172",NA,NA
"C8-pos_Cluster_0173",NA,NA
"C8-pos_Cluster_0174","Phenols and derivatives",NA
"C8-pos_Cluster_0176",NA,NA
"C8-pos_Cluster_0177","Organonitrogen compounds",NA
"C8-pos_Cluster_0178","Organonitrogen compounds",NA
"C8-pos_Cluster_0179",NA,NA
"C8-pos_Cluster_0182","Phenols",NA
"C8-pos_Cluster_0183","Phenols",NA
"C8-pos_Cluster_0184",NA,NA
"C8-pos_Cluster_0185",NA,NA
"C8-pos_Cluster_0187",NA,NA
"C8-pos_Cluster_0190",NA,NA
"C8-pos_Cluster_0191","Phenols and derivatives",NA
"C8-pos_Cluster_0192","Phenols and derivatives",NA
"C8-pos_Cluster_0193","Phenols and derivatives",NA
"C8-pos_Cluster_0194",NA,NA
"C8-pos_Cluster_0195","Hydroxybenzoic acid derivatives",NA
"C8-pos_Cluster_0196",NA,NA
"C8-pos_Cluster_0198",NA,NA
"C8-pos_Cluster_0199",NA,NA
"C8-pos_Cluster_0200",NA,NA
"C8-pos_Cluster_0202",NA,NA
"C8-pos_Cluster_0203",NA,NA
"C8-pos_Cluster_0205","Long-chain fatty acids",NA
"C8-pos_Cluster_0206",NA,NA
"C8-pos_Cluster_0207",NA,NA
"C8-pos_Cluster_0208",NA,NA
"C8-pos_Cluster_0209",NA,NA
"C8-pos_Cluster_0210","Pyrrolidines",NA
"C8-pos_Cluster_0211","Iridoids and derivatives",NA
"C8-pos_Cluster_0212","Fatty alcohols",NA
"C8-pos_Cluster_0215","Hydrophenanthrenes",NA
"C8-pos_Cluster_0216",NA,NA
"C8-pos_Cluster_0218",NA,NA
"C8-pos_Cluster_0221",NA,NA
"C8-pos_Cluster_0222",NA,NA
"C8-pos_Cluster_0223",NA,NA
"C8-pos_Cluster_0224",NA,NA
"C8-pos_Cluster_0225",NA,NA
"C8-pos_Cluster_0226",NA,NA
"C8-pos_Cluster_0227","Acyclic diterpenoids",NA
"C8-pos_Cluster_0228",NA,NA
"C8-pos_Cluster_0229","Benzodioxoles",NA
"C8-pos_Cluster_0230","Organonitrogen compounds",NA
"C8-pos_Cluster_0231",NA,NA
"C8-pos_Cluster_0232",NA,NA
"C8-pos_Cluster_0235",NA,NA
"C8-pos_Cluster_0238",NA,NA
"C8-pos_Cluster_0239",NA,NA
"C8-pos_Cluster_0240",NA,NA
"C8-pos_Cluster_0242","Gluco/mineralocorticoids, progestogins and derivatives",NA
"C8-pos_Cluster_0243","Gluco/mineralocorticoids, progestogins and derivatives",NA
"C8-pos_Cluster_0247",NA,NA
"C8-pos_Cluster_0248",NA,NA
"C8-pos_Cluster_0249","Gluco/mineralocorticoids, progestogins and derivatives",NA
"C8-pos_Cluster_0250",NA,NA
"C8-pos_Cluster_0251",NA,NA
"C8-pos_Cluster_0252",NA,NA
"C8-pos_Cluster_0254",NA,NA
"C8-pos_Cluster_0257",NA,NA
"C8-pos_Cluster_0259",NA,NA
"C8-pos_Cluster_0260",NA,NA
"C8-pos_Cluster_0261",NA,NA
"C8-pos_Cluster_0262",NA,NA
"C8-pos_Cluster_0263",NA,NA
"C8-pos_Cluster_0268",NA,NA
"C8-pos_Cluster_0270","Beta-diketones",NA
"C8-pos_Cluster_0272","Organonitrogen compounds",NA
"C8-pos_Cluster_0273",NA,NA
"C8-pos_Cluster_0275",NA,NA
"C8-pos_Cluster_0278",NA,NA
"C8-pos_Cluster_0279",NA,NA
"C8-pos_Cluster_0281",NA,NA
"C8-pos_Cluster_0283",NA,NA
"C8-pos_Cluster_0284",NA,NA
"C8-pos_Cluster_0286",NA,NA
"C8-pos_Cluster_0290",NA,NA
"C8-pos_Cluster_0291",NA,NA
"C8-pos_Cluster_0292",NA,NA
"C8-pos_Cluster_0293","N-acyl amines",NA
"C8-pos_Cluster_0294","Phenolic glycosides",NA
"C8-pos_Cluster_0295",NA,NA
"C8-pos_Cluster_0296","Prostaglandins and related compounds",NA
"C8-pos_Cluster_0298",NA,NA
"C8-pos_Cluster_0299",NA,NA
"C8-pos_Cluster_0300",NA,NA
"C8-pos_Cluster_0301",NA,NA
"C8-pos_Cluster_0302","N-acyl amines",NA
"C8-pos_Cluster_0303",NA,NA
"C8-pos_Cluster_0304","Tetrahydrofurans",NA
"C8-pos_Cluster_0305",NA,NA
"C8-pos_Cluster_0306",NA,NA
"C8-pos_Cluster_0307","Tetrahydrofurans",NA
"C8-pos_Cluster_0308",NA,NA
"C8-pos_Cluster_0309",NA,NA
"C8-pos_Cluster_0310",NA,NA
"C8-pos_Cluster_0311",NA,NA
"C8-pos_Cluster_0314",NA,NA
"C8-pos_Cluster_0315",NA,NA
"C8-pos_Cluster_0316",NA,NA
"C8-pos_Cluster_0317",NA,NA
"C8-pos_Cluster_0318",NA,NA
"C8-pos_Cluster_0320",NA,NA
"C8-pos_Cluster_0321",NA,NA
"C8-pos_Cluster_0322",NA,NA
"C8-pos_Cluster_0323","N-acyl-alpha amino acids",NA
"C8-pos_Cluster_0324",NA,NA
"C8-pos_Cluster_0325",NA,NA
"C8-pos_Cluster_0326","Fatty amides",NA
"C8-pos_Cluster_0327",NA,NA
"C8-pos_Cluster_0328","Fatty alcohols",NA
"C8-pos_Cluster_0329","Fatty alcohols",NA
"C8-pos_Cluster_0330","Fatty alcohols",NA
"C8-pos_Cluster_0331","Benzodioxoles",NA
"C8-pos_Cluster_0333","Fatty acid esters",NA
"C8-pos_Cluster_0334","Benzodioxoles",NA
"C8-pos_Cluster_0335","Long-chain fatty acids",NA
"C8-pos_Cluster_0337",NA,NA
"C8-pos_Cluster_0343",NA,NA
"C8-pos_Cluster_0345",NA,NA
"C8-pos_Cluster_0347",NA,NA
"C8-pos_Cluster_0349",NA,NA
"C8-pos_Cluster_0351",NA,NA
"C8-pos_Cluster_0352",NA,NA
"C8-pos_Cluster_0353",NA,NA
"C8-pos_Cluster_0355",NA,NA
"C8-pos_Cluster_0356",NA,NA
"C8-pos_Cluster_0357",NA,NA
"C8-pos_Cluster_0358",NA,NA
"C8-pos_Cluster_0359","Eicosanoids",NA
"C8-pos_Cluster_0360","Lineolic acids and derivatives",NA
"C8-pos_Cluster_0361",NA,NA
"C8-pos_Cluster_0362",NA,NA
"C8-pos_Cluster_0365",NA,NA
"C8-pos_Cluster_0366","Phenol ethers",NA
"C8-pos_Cluster_0367","Phenol ethers",NA
"C8-pos_Cluster_0368","Phenol ethers",NA
"C8-pos_Cluster_0369","Lineolic acids and derivatives",NA
"C8-pos_Cluster_0371",NA,NA
"C8-pos_Cluster_0373","Very long-chain fatty acids",NA
"C8-pos_Cluster_0374","Very long-chain fatty acids",NA
"C8-pos_Cluster_0376","Very long-chain fatty acids",NA
"C8-pos_Cluster_0378","1-alkyl,3-acylglycerols",NA
"C8-pos_Cluster_0379","Very long-chain fatty acids",NA
"C8-pos_Cluster_0381","Very long-chain fatty acids",NA
"C8-pos_Cluster_0382","Very long-chain fatty acids",NA
"C8-pos_Cluster_0383","Very long-chain fatty acids",NA
"C8-pos_Cluster_0386",NA,NA
"C8-pos_Cluster_0387","Vitamin D and derivatives",NA
"C8-pos_Cluster_0390","Very long-chain fatty acids",NA
"C8-pos_Cluster_0393",NA,NA
"C8-pos_Cluster_0394",NA,NA
"C8-pos_Cluster_0395",NA,NA
"C8-pos_Cluster_0396",NA,NA
"C8-pos_Cluster_0397","N-acyl amines",NA
"C8-pos_Cluster_0398","Phenol ethers",NA
"C8-pos_Cluster_0399",NA,NA
"C8-pos_Cluster_0400",NA,NA
"C8-pos_Cluster_0401",NA,NA
"C8-pos_Cluster_0402",NA,NA
"C8-pos_Cluster_0403",NA,NA
"C8-pos_Cluster_0404",NA,NA
"C8-pos_Cluster_0405","Pyrans",NA
"C8-pos_Cluster_0408",NA,NA
"C8-pos_Cluster_0411",NA,NA
"C8-pos_Cluster_0412",NA,NA
"C8-pos_Cluster_0413",NA,NA
"C8-pos_Cluster_0414","Dipeptides",NA
"C8-pos_Cluster_0415",NA,NA
"C8-pos_Cluster_0418",NA,NA
"C8-pos_Cluster_0421",NA,NA
"C8-pos_Cluster_0422",NA,NA
"C8-pos_Cluster_0424",NA,NA
"C8-pos_Cluster_0425","Cholestane steroids",NA
"C8-pos_Cluster_0427","Cholestane steroids",NA
"C8-pos_Cluster_0428","Cholestane steroids",NA
"C8-pos_Cluster_0429","Acyl carnitines",NA
"C8-pos_Cluster_0430","Benzopyrans",NA
"C8-pos_Cluster_0432",NA,NA
"C8-pos_Cluster_0433","Benzopyrans",NA
"C8-pos_Cluster_0434","Benzopyrans",NA
"C8-pos_Cluster_0435",NA,NA
"C8-pos_Cluster_0436",NA,NA
"C8-pos_Cluster_0437",NA,NA
"C8-pos_Cluster_0438",NA,NA
"C8-pos_Cluster_0440",NA,NA
"C8-pos_Cluster_0441",NA,NA
"C8-pos_Cluster_0442",NA,NA
"C8-pos_Cluster_0443",NA,NA
"C8-pos_Cluster_0444",NA,NA
"C8-pos_Cluster_0445",NA,NA
"C8-pos_Cluster_0447",NA,NA
"C8-pos_Cluster_0448","Endocannabinoids",NA
"C8-pos_Cluster_0449","Endocannabinoids",NA
"C8-pos_Cluster_0450",NA,NA
"C8-pos_Cluster_0451",NA,NA
"C8-pos_Cluster_0452",NA,NA
"C8-pos_Cluster_0454",NA,NA
"C8-pos_Cluster_0455",NA,NA
"C8-pos_Cluster_0456",NA,NA
"C8-pos_Cluster_0457",NA,NA
"C8-pos_Cluster_0458",NA,NA
"C8-pos_Cluster_0459",NA,NA
"C8-pos_Cluster_0461",NA,NA
"C8-pos_Cluster_0462",NA,NA
"C8-pos_Cluster_0463","Organonitrogen compounds",NA
"C8-pos_Cluster_0464",NA,NA
"C8-pos_Cluster_0465",NA,NA
"C8-pos_Cluster_0466",NA,NA
"C8-pos_Cluster_0468",NA,NA
"C8-pos_Cluster_0469","Eicosanoids",NA
"C8-pos_Cluster_0470",NA,NA
"C8-pos_Cluster_0471",NA,NA
"C8-pos_Cluster_0473",NA,NA
"C8-pos_Cluster_0474",NA,NA
"C8-pos_Cluster_0475",NA,NA
"C8-pos_Cluster_0476","Benzodioxoles",NA
"C8-pos_Cluster_0477",NA,NA
"C8-pos_Cluster_0480","Hydroxy acids and derivatives",NA
"C8-pos_Cluster_0484","Quassinoids",NA
"C8-pos_Cluster_0485",NA,NA
"C8-pos_Cluster_0486","Hydroxybenzoic acid derivatives",NA
"C8-pos_Cluster_0487","Prostaglandins and related compounds",NA
"C8-pos_Cluster_0488","Hydroxybenzoic acid derivatives",NA
"C8-pos_Cluster_0490",NA,NA
"C8-pos_Cluster_0491",NA,NA
"C8-pos_Cluster_0492",NA,NA
"C8-pos_Cluster_0493","Cardenolides and derivatives",NA
"C8-pos_Cluster_0495",NA,NA
"C8-pos_Cluster_0496",NA,NA
"C8-pos_Cluster_0497",NA,NA
"C8-pos_Cluster_0499",NA,NA
"C8-pos_Cluster_0500",NA,NA
"C8-pos_Cluster_0501",NA,NA
"C8-pos_Cluster_0502",NA,NA
"C8-pos_Cluster_0503","Glycerophosphates",NA
"C8-pos_Cluster_0504","Glycerophosphates",NA
"C8-pos_Cluster_0505",NA,NA
"C8-pos_Cluster_0506",NA,NA
"C8-pos_Cluster_0508",NA,NA
"C8-pos_Cluster_0509",NA,NA
"C8-pos_Cluster_0510",NA,NA
"C8-pos_Cluster_0511",NA,NA
"C8-pos_Cluster_0512",NA,NA
"C8-pos_Cluster_0513",NA,NA
"C8-pos_Cluster_0514",NA,NA
"C8-pos_Cluster_0517",NA,NA
"C8-pos_Cluster_0519",NA,NA
"C8-pos_Cluster_0520",NA,NA
"C8-pos_Cluster_0521",NA,NA
"C8-pos_Cluster_0522",NA,NA
"C8-pos_Cluster_0523","Fatty acid esters",NA
"C8-pos_Cluster_0524",NA,NA
"C8-pos_Cluster_0525","Ergostane steroids",NA
"C8-pos_Cluster_0526",NA,NA
"C8-pos_Cluster_0529",NA,NA
"C8-pos_Cluster_0530",NA,NA
"C8-pos_Cluster_0531","Solanidines and derivatives",NA
"C8-pos_Cluster_0534",NA,NA
"C8-pos_Cluster_0535",NA,NA
"C8-pos_Cluster_0536","Sesquiterpenoids",NA
"C8-pos_Cluster_0537",NA,NA
"C8-pos_Cluster_0540",NA,NA
"C8-pos_Cluster_0541",NA,NA
"C8-pos_Cluster_0542",NA,NA
"C8-pos_Cluster_0543",NA,NA
"C8-pos_Cluster_0544","Bile acids, alcohols and derivatives",NA
"C8-pos_Cluster_0546",NA,NA
"C8-pos_Cluster_0547","Sesquiterpenoids",NA
"C8-pos_Cluster_0548",NA,NA
"C8-pos_Cluster_0550",NA,NA
"C8-pos_Cluster_0551",NA,NA
"C8-pos_Cluster_0552","Sesquiterpenoids",NA
"C8-pos_Cluster_0555",NA,NA
"C8-pos_Cluster_0556",NA,NA
"C8-pos_Cluster_0557",NA,NA
"C8-pos_Cluster_0558","Hydroxysteroids",NA
"C8-pos_Cluster_0559",NA,NA
"C8-pos_Cluster_0560",NA,NA
"C8-pos_Cluster_0561",NA,NA
"C8-pos_Cluster_0562",NA,NA
"C8-pos_Cluster_0563",NA,NA
"C8-pos_Cluster_0565",NA,NA
"C8-pos_Cluster_0566",NA,NA
"C8-pos_Cluster_0567",NA,NA
"C8-pos_Cluster_0568",NA,NA
"C8-pos_Cluster_0569",NA,NA
"C8-pos_Cluster_0570",NA,NA
"C8-pos_Cluster_0571",NA,NA
"C8-pos_Cluster_0572",NA,NA
"C8-pos_Cluster_0573",NA,NA
"C8-pos_Cluster_0576","Stigmastanes and derivatives",NA
"C8-pos_Cluster_0578",NA,NA
"C8-pos_Cluster_0579","Diterpenoids",NA
"C8-pos_Cluster_0580","Diterpenoids",NA
"C8-pos_Cluster_0581",NA,NA
"C8-pos_Cluster_0582",NA,NA
"C8-pos_Cluster_0583","Diterpenoids",NA
"C8-pos_Cluster_0584","Cholesterols and derivatives",NA
"C8-pos_Cluster_0587",NA,NA
"C8-pos_Cluster_0589","Coumarins and derivatives",NA
"C8-pos_Cluster_0590",NA,NA
"C8-pos_Cluster_0594",NA,NA
"C8-pos_Cluster_0595",NA,NA
"C8-pos_Cluster_0599",NA,NA
"C8-pos_Cluster_0600","Triterpenoids",NA
"C8-pos_Cluster_0601",NA,NA
"C8-pos_Cluster_0602",NA,NA
"C8-pos_Cluster_0605","1-acyl-sn-glycerol-2,3-cyclic-phosphates",NA
"C8-pos_Cluster_0607","Trihydroxy bile acids, alcohols and derivatives",NA
"C8-pos_Cluster_0608","Triterpenoids",NA
"C8-pos_Cluster_0609","Triterpenoids",NA
"C8-pos_Cluster_0611",NA,NA
"C8-pos_Cluster_0612",NA,NA
"C8-pos_Cluster_0613",NA,NA
"C8-pos_Cluster_0615",NA,NA
"C8-pos_Cluster_0616",NA,NA
"C8-pos_Cluster_0617",NA,NA
"C8-pos_Cluster_0619",NA,NA
"C8-pos_Cluster_0620",NA,NA
